"Diseño"	"n"	"sigma"	"Coverage.100"	"Longitud.Relative.1000"	"Sesgo.Relative.1000"	"CV.1000"
"MAS"	50	74	94.1	95.827	0.247	48.892
"MAS"	400	74	96.3	33.556	-0.185	17.121
"MAS"	1000	74	94.9	20.919	-0.518	10.673
"MAS"	50	13.7	93.9	20.36	0.281	10.388
"MAS"	400	13.7	96.2	7.132	-0.081	3.639
"MAS"	1000	13.7	94.4	4.446	-0.127	2.268
"MAS"	50	3.6	93.9	11.211	0.287	5.72
"MAS"	400	3.6	95.4	3.95	-0.064	2.015
"MAS"	1000	3.6	94.8	2.459	-0.062	1.255
"PiPS"	50	74	94.1	177.794	3.083	90.713
"PiPS"	400	74	93.1	64.584	1.191	32.951
"PiPS"	1000	74	94.4	40.671	1.208	20.751
"PiPS"	50	13.7	92.9	143.144	-0.283	73.034
"PiPS"	400	13.7	93.3	52.128	0.26	26.596
"PiPS"	1000	13.7	94.8	32.761	0.342	16.715
"PiPS"	50	3.6	92.8	141.595	-0.847	72.244
"PiPS"	400	3.6	93.1	51.635	0.104	26.345
"PiPS"	1000	3.6	94.5	32.435	0.197	16.549
"GAM_NPiPS"	50	74	100	0.051	0	0.026
"GAM_NPiPS"	400	74	100	0.046	0	0.024
"GAM_NPiPS"	1000	74	100	0.046	0	0.023
"GAM_NPiPS"	50	13.7	100	0.049	0	0.025
"GAM_NPiPS"	400	13.7	100	0.046	0	0.023
"GAM_NPiPS"	1000	13.7	100	0.045	0	0.023
"GAM_NPiPS"	50	3.6	100	0.049	0	0.025
"GAM_NPiPS"	400	3.6	100	0.046	0	0.023
"GAM_NPiPS"	1000	3.6	100	0.045	0	0.023
"GAM_N"	50	74	100	0.047	0	0.024
"GAM_N"	400	74	100	0.046	0	0.023
"GAM_N"	1000	74	100	0.045	0	0.023
"GAM_N"	50	13.7	100	0.045	0	0.023
"GAM_N"	400	13.7	100	0.045	0	0.023
"GAM_N"	1000	13.7	100	0.045	0	0.023
"GAM_N"	50	3.6	100	0.045	0	0.023
"GAM_N"	400	3.6	100	0.045	0	0.023
"GAM_N"	1000	3.6	100	0.045	0	0.023
"GAMPiPS"	50	74	100	0.022	0	0.012
"GAMPiPS"	400	74	100	0.009	0	0.005
"GAMPiPS"	1000	74	100	0.007	0	0.004
"GAMPiPS"	50	13.7	100	0.018	0	0.01
"GAMPiPS"	400	13.7	100	0.008	0	0.004
"GAMPiPS"	1000	13.7	100	0.006	0	0.003
"GAMPiPS"	50	3.6	100	0.018	0	0.01
"GAMPiPS"	400	3.6	100	0.008	0	0.004
"GAMPiPS"	1000	3.6	100	0.006	0	0.003
"GAM"	50	74	100	0.012	0	0.007
"GAM"	400	74	100	0.006	0	0.003
"GAM"	1000	74	100	0.005	0	0.003
"GAM"	50	13.7	100	0.005	0	0.003
"GAM"	400	13.7	100	0.005	0	0.002
"GAM"	1000	13.7	100	0.005	0	0.002
"GAM"	50	3.6	100	0.005	0	0.002
"GAM"	400	3.6	100	0.005	0	0.002
"GAM"	1000	3.6	100	0.005	0	0.002
"NOR_NPiPS"	50	74	100	0.454	0	0.232
"NOR_NPiPS"	400	74	100	0.453	-0.001	0.232
"NOR_NPiPS"	1000	74	100	0.453	0	0.232
"NOR_NPiPS"	50	13.7	100	0.453	0	0.232
"NOR_NPiPS"	400	13.7	100	0.452	0	0.231
"NOR_NPiPS"	1000	13.7	100	0.453	0	0.231
"NOR_NPiPS"	50	3.6	100	0.453	0	0.232
"NOR_NPiPS"	400	3.6	100	0.453	0	0.231
"NOR_NPiPS"	1000	3.6	100	0.453	0	0.231
"NOR_N"	50	74	100	0.453	0	0.232
"NOR_N"	400	74	100	0.453	0.001	0.232
"NOR_N"	1000	74	100	0.452	0	0.231
"NOR_N"	50	13.7	100	0.452	0	0.231
"NOR_N"	400	13.7	100	0.453	0	0.231
"NOR_N"	1000	13.7	100	0.452	0	0.231
"NOR_N"	50	3.6	100	0.452	0	0.231
"NOR_N"	400	3.6	100	0.451	0	0.231
"NOR_N"	1000	3.6	100	0.45	0	0.23
"NORPiPS"	50	74	100	0.022	0	0.012
"NORPiPS"	400	74	100	0.009	0	0.005
"NORPiPS"	1000	74	100	0.007	0	0.004
"NORPiPS"	50	13.7	100	0.018	0	0.01
"NORPiPS"	400	13.7	100	0.008	0	0.004
"NORPiPS"	1000	13.7	100	0.006	0	0.003
"NORPiPS"	50	3.6	100	0.018	0	0.01
"NORPiPS"	400	3.6	100	0.008	0	0.004
"NORPiPS"	1000	3.6	100	0.006	0	0.003
"NOR"	50	74	100	0.012	0	0.007
"NOR"	400	74	100	0.006	0	0.003
"NOR"	1000	74	100	0.005	0	0.003
"NOR"	50	13.7	100	0.005	0	0.003
"NOR"	400	13.7	100	0.005	0	0.002
"NOR"	1000	13.7	100	0.005	0	0.002
"NOR"	50	3.6	100	0.005	0	0.002
"NOR"	400	3.6	100	0.005	0	0.002
"NOR"	1000	3.6	100	0.005	0	0.002
"UNFPiPS"	50	74	98.3	266.703	-2.422	136.345
"UNFPiPS"	400	74	99.8	101.543	-0.178	51.892
"UNFPiPS"	1000	74	99.9	64.26	0.111	32.869
"UNFPiPS"	50	13.7	98.2	215.914	-1.559	110.41
"UNFPiPS"	400	13.7	99.8	81.998	0.155	41.931
"UNFPiPS"	1000	13.7	99.8	51.868	-0.125	26.553
"UNFPiPS"	50	3.6	98.6	214.555	-1.516	109.734
"UNFPiPS"	400	3.6	99.5	81.317	0.167	41.569
"UNFPiPS"	1000	3.6	99.7	51.407	-0.216	26.294
"UNF"	50	74	99.4	148.117	1.268	75.732
"UNF"	400	74	99.4	52.978	0.363	27.068
"UNF"	1000	74	99.6	33.465	0.172	17.108
"UNF"	50	13.7	99.3	31.434	0.512	16.063
"UNF"	400	13.7	99.4	11.278	0.123	5.763
"UNF"	1000	13.7	99.6	7.109	-0.017	3.636
